campaign_id,block_id,prevhash,metric,observed,null_mean,null_sd,z_score,permutation_p_two_sided,permutations
traj_20260905_190202_4a454354,2644cc2f3716b2b392fdc4323c27b0742070d628f91d6115901736b561982570,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,spearman_y_rank_vs_nonce,0.008390,-0.001461,0.015822,0.622583,0.547264,200
traj_20260905_190202_4a454354,db89e5d5ae55624f6678dda086a8935c2cdfe1c2c50369a476988f8f90ca5ddb,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_abs_nonce_delta,1428281492.838446,1413851523.614420,13684177.998957,1.054500,0.313433,200
traj_20260905_190202_4a454354,db89e5d5ae55624f6678dda086a8935c2cdfe1c2c50369a476988f8f90ca5ddb,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_circular_nonce_distance,1063178516.025977,1073763296.027419,9692470.065722,-1.092062,0.313433,200
traj_20260905_190202_4a454354,db89e5d5ae55624f6678dda086a8935c2cdfe1c2c50369a476988f8f90ca5ddb,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_xor_popcount,15.966601,16.000929,0.042869,-0.800780,0.452736,200
traj_20260905_190202_4a454354,db89e5d5ae55624f6678dda086a8935c2cdfe1c2c50369a476988f8f90ca5ddb,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_common_prefix_bits,0.991836,0.999870,0.021410,-0.375256,0.731343,200
traj_20260905_190202_4a454354,db89e5d5ae55624f6678dda086a8935c2cdfe1c2c50369a476988f8f90ca5ddb,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_common_suffix_bits,1.025482,0.999411,0.022243,1.172112,0.253731,200
traj_20260905_190202_4a454354,db89e5d5ae55624f6678dda086a8935c2cdfe1c2c50369a476988f8f90ca5ddb,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,spearman_y_rank_vs_nonce,-0.003766,0.000921,0.016321,-0.287159,0.746269,200
traj_20260905_190202_4a454354,59d1391e1a02b496d5c2fea62cf2a4fa6484e6900a84a04fd200a850722f4ff8,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_abs_nonce_delta,1433159117.165819,1427764171.827173,15125163.969353,0.356687,0.746269,200
traj_20260905_190202_4a454354,59d1391e1a02b496d5c2fea62cf2a4fa6484e6900a84a04fd200a850722f4ff8,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_circular_nonce_distance,1065887461.544904,1073881310.814843,9687777.439391,-0.825148,0.388060,200
traj_20260905_190202_4a454354,59d1391e1a02b496d5c2fea62cf2a4fa6484e6900a84a04fd200a850722f4ff8,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_xor_popcount,16.068748,15.999259,0.043746,1.588484,0.099502,200
traj_20260905_190202_4a454354,59d1391e1a02b496d5c2fea62cf2a4fa6484e6900a84a04fd200a850722f4ff8,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_common_prefix_bits,0.969015,0.999348,0.022028,-1.377041,0.174129,200
traj_20260905_190202_4a454354,59d1391e1a02b496d5c2fea62cf2a4fa6484e6900a84a04fd200a850722f4ff8,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_common_suffix_bits,1.005326,0.999881,0.020741,0.262480,0.805970,200
traj_20260905_190202_4a454354,59d1391e1a02b496d5c2fea62cf2a4fa6484e6900a84a04fd200a850722f4ff8,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,spearman_y_rank_vs_nonce,-0.004746,-0.000240,0.014605,-0.308552,0.751244,200
traj_20260905_190202_4a454354,cc5fdb7b6a295f1914c22696941902df6dd08916236d6f05bbbc27e2e7a5b89e,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_abs_nonce_delta,1424281088.489730,1427511484.183187,14997436.963897,-0.215397,0.805970,200
traj_20260905_190202_4a454354,cc5fdb7b6a295f1914c22696941902df6dd08916236d6f05bbbc27e2e7a5b89e,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_circular_nonce_distance,1059501474.441722,1073407854.560637,9281962.662931,-1.498215,0.144279,200
traj_20260905_190202_4a454354,cc5fdb7b6a295f1914c22696941902df6dd08916236d6f05bbbc27e2e7a5b89e,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_xor_popcount,16.001237,16.000421,0.048414,0.016868,0.980100,200
traj_20260905_190202_4a454354,cc5fdb7b6a295f1914c22696941902df6dd08916236d6f05bbbc27e2e7a5b89e,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_common_prefix_bits,1.000000,0.998878,0.024102,0.046562,0.965174,200
traj_20260905_190202_4a454354,cc5fdb7b6a295f1914c22696941902df6dd08916236d6f05bbbc27e2e7a5b89e,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,mean_common_suffix_bits,1.009651,1.000106,0.022661,0.421190,0.661692,200
traj_20260905_190202_4a454354,cc5fdb7b6a295f1914c22696941902df6dd08916236d6f05bbbc27e2e7a5b89e,c7c041c0002635f1c48f670f1b194a40c26fd75f000172c40000000000000000,spearman_y_rank_vs_nonce,-0.004123,0.000486,0.015713,-0.293330,0.756219,200
