global_round,sha_pass,compression_index,local_round,feature,comparison,prevhash_count,bje_count,mean_rank_biserial,median_rank_biserial,bootstrap_ci_low,bootstrap_ci_high,mean_ks
2,1,0,2,Sigma1_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Sigma1_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Sigma1_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Ch_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Ch_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Ch_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Maj_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Maj_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,Maj_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T2_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T2_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T2_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T1_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T2_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T2_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
